State_code,State,Municipality,Municipal_code,Year,Treatment,MajorHighway,MajorPort,Airports,Railline,Oilline,Intlborder,Shoreline,Poppies,MajCity,Mayor,MayorParty,Attack,Attack_count,Incumbent,Population,Homicidio,id_code
21,Puebla,Quimixtlán,116,2020,1,0,0,0,0,0,0,0,0,0,Armando Pimentel Gómez,PAN,0,0,0,2278,1,21-116
30,Veracruz,Oluta,116,2020,0,1,0,0,0,0,0,0,0,0,María Luisa Prieto Duncan,PAN,0,0,0,3981,0,30-116
7,Chiapas,Marqués de Comillas,116,2021,1,1,0,0,0,0,1,0,0,0,,PT,0,0,0,3981,2,7-116
14,Jalisco,Villa Hidalgo,116,2021,1,1,0,0,0,0,0,0,0,0,Jaime Cruz Villapando,FUERZA,0,0,0,3981,0,14-116
15,Mexico,Zacazonapan,116,2021,1,1,0,0,0,0,0,0,0,0,Juan Vicente Jaramillo Cruz,PRD,0,0,0,3981,1,15-116
20,Oaxaca,San Baltazar Chichicápam,116,2021,1,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,3981,0,20-116
21,Puebla,Puebla,116,2021,1,1,0,0,1,1,0,0,0,1,Eduardo Rivera Pérez,PAN,0,0,0,3981,1,21-116
30,Veracruz,Oluta,116,2021,0,1,0,0,0,0,0,0,0,0,Mauricio Alarcón Castillo,MC,0,0,0,3981,0,30-116
7,Chiapas,Maravilla Tenejapa,115,2015,1,1,0,0,0,0,1,0,0,0,Antonio Santiz Gomez,PRI,0,0,0,15338,2,7-115
14,Jalisco,Villa Guerrero,115,2015,1,1,0,0,0,0,0,0,0,0,NA,CPJ,0,0,0,15338,1,14-115
15,Mexico,Xonacatlán,115,2015,1,1,0,0,0,0,0,0,0,0,Arturo Joaquin Ruiz Gutierrez,PT,0,0,0,15338,1,15-115
21,Puebla,Quecholac,115,2015,1,1,0,0,0,0,0,0,0,0,Agustin Jorge F. Osorio Miron,CPP,0,0,0,15338,2,21-115
30,Veracruz,Nogales,115,2015,0,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,15338,0,30-115
7,Chiapas,Maravilla Tenejapa,115,2016,1,1,0,0,0,0,1,0,0,0,Antonio Santiz Gomez,PRI,0,0,0,15338,1,7-115
14,Jalisco,Villa Guerrero,115,2016,1,1,0,0,0,0,0,0,0,0,NA,CPJ,0,0,0,15338,0,14-115
15,Mexico,Xonacatlán,115,2016,1,1,0,0,0,0,0,0,0,0,Arturo Joaquin Ruiz Gutierrez,PT,0,0,0,14561,1,15-115
21,Puebla,Quecholac,115,2016,1,1,0,0,0,0,0,0,0,0,Agustin Jorge F. Osorio Miron,CPP,0,0,0,14561,2,21-115
30,Veracruz,Nogales,115,2016,0,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,14561,1,30-115
7,Chiapas,Maravilla Tenejapa,115,2017,1,1,0,0,0,0,1,0,0,0,Antonio Hernández López,PRD,0,0,0,14561,3,7-115
14,Jalisco,Villa Guerrero,115,2017,1,1,0,0,0,0,0,0,0,0,Aldo Gamboa Gutiérrez,PAN,0,0,0,14561,2,14-115
15,Mexico,Xonacatlán,115,2017,1,1,0,0,0,0,0,0,0,0,Enrique Audencio Mazutti Delgado,PRI,0,0,0,14561,0,15-115
21,Puebla,Quecholac,115,2017,1,1,0,0,0,0,0,0,0,0,Néstor Camarillo Medina,PRI/PVEM,0,0,0,14561,2,21-115
30,Veracruz,Nogales,115,2017,0,1,0,0,0,0,0,0,0,0,Antonio Bonilla Arriaga,PAN,0,0,0,63718,1,30-115
7,Chiapas,Maravilla Tenejapa,115,2018,1,1,0,0,0,0,1,0,0,0,Antonio Hernández López,PRD,0,0,0,63718,3,7-115
14,Jalisco,Villa Guerrero,115,2018,1,1,0,0,0,0,0,0,0,0,Aldo Gamboa Gutiérrez,PAN,0,0,0,63718,2,14-115
15,Mexico,Xonacatlán,115,2018,1,1,0,0,0,0,0,0,0,0,Enrique Audencio Mazutti Delgado,PRI,0,0,0,63718,3,15-115
21,Puebla,Quecholac,115,2018,1,1,0,0,0,0,0,0,0,0,Néstor Camarillo Medina,PRI/PVEM,0,0,0,63718,7,21-115
30,Veracruz,Nogales,115,2018,0,1,0,0,0,0,0,0,0,0,Antonio Bonilla Arriaga,PAN,0,0,0,63718,7,30-115
7,Chiapas,Maravilla Tenejapa,115,2019,1,1,0,0,0,0,1,0,0,0,Iván Fernando Méndez Pérez,MOVER A CHIAPAS,0,0,0,63718,6,7-115
14,Jalisco,Villa Guerrero,115,2019,1,1,0,0,0,0,0,0,0,0,Aldo Gamboa Gutiérrez,PAN,0,0,0,5586,1,14-115
15,Mexico,Xonacatlán,115,2019,1,1,0,0,0,0,0,0,0,0,Serafín Gutiérrez Morales,MRN,0,0,0,5586,0,15-115
21,Puebla,Quecholac,115,2019,1,1,0,0,0,0,0,0,0,0,José Alejandro Martínez Fuentes,MC,0,0,0,5586,0,21-115
